date,lastUpdateTime,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_cured,today_dead,today_severe,today_input,,existing confirmed,existing_suspect
2020/1/20,,291,54,25,6,0,0,291,27,25,6,0,0,,250,54
2020/1/21,,440,37,25,9,102,0,149,26,25,3,0,0,,406,37
2020/1/22,,571,393,28,17,95,0,131,257,28,8,0,0,,526,393
2020/1/23,,830,1072,34,25,177,0,259,680,6,8,0,0,,771,1072
2020/1/24,,1287,1965,38,41,237,0,444,1118,4,16,0,0,,1208,1965
2020/1/25,,1975,2684,49,56,324,0,688,1309,11,15,0,0,,1870,2684
2020/1/26,,2744,5794,51,80,461,0,769,3806,2,24,0,0,,2613,5794
2020/1/27,,4515,6973,60,106,976,0,1771,2077,9,26,0,0,,4349,6973
2020/1/28,,5974,9239,103,132,1239,0,1459,3248,43,26,0,0,,5739,9239
2020/1/29,,7711,12167,124,170,1370,0,1737,4148,21,38,0,0,,7417,12167
2020/1/30,,9692,15238,171,213,1527,0,1981,4812,47,43,0,0,,9308,15238
2020/1/31,,11791,17988,243,259,1795,0,2099,5019,72,46,0,0,,11289,17988
2020/2/1,,14380,19544,328,304,2110,0,2589,4562,85,45,0,0,,13748,19544
2020/2/2,,17205,21558,475,361,2296,0,2825,5173,147,57,0,0,,16369,21558
2020/2/3,,20438,23214,632,425,2788,0,3233,5072,157,64,0,0,,19381,23214
2020/2/4,,24324,23260,892,490,3219,0,3886,3971,260,65,0,0,,22942,23260
2020/2/5,,28018,24702,1153,563,3859,0,3694,5328,261,73,0,0,,26302,24702
2020/2/6,,31161,26359,1540,636,4821,0,3193,4833,387,73,0,0,,28985,26359
2020/2/7,,34546,27657,2050,722,6101,0,3437,4214,510,86,0,0,,31774,27657
2020/2/8,,37198,28942,2649,811,6188,0,2652,3916,599,89,0,0,,33738,28942
2020/2/9,,40171,23589,3281,908,6484,0,2973,4008,632,97,0,0,,35982,23589
2020/2/10,,42638,21675,3996,1016,7333,0,2467,3536,715,108,0,0,,37626,21675
2020/2/11,,44653,16067,4740,1113,8204,0,2015,3342,644,97,0,0,,38800,16067
2020/2/12,,58761,13435,5642,1259,8030,0,14108,2807,1002,146,0,0,,51860,13435
2020/2/13,,63851,10109,6723,1380,10204,0,5090,2450,1081,121,0,0,,55748,10109
2020/2/14,,66492,8969,8096,1523,11053,0,2641,2277,1373,143,0,0,,56873,8969
2020/2/15,,68500,8228,9419,1665,11272,0,2008,1918,1323,142,0,0,,57416,8228
2020/2/16,,70548,7264,10844,1770,10644,0,2048,1563,1425,105,0,0,,57934,7264
2020/2/17,,72436,6242,12552,1868,11741,0,1888,1432,1708,98,0,0,,58016,6242
2020/2/18,,74185,5248,14376,2004,11977,0,1749,1185,1824,136,0,0,,57805,5248
2020/2/19,,75002,4922,16157,2118,11864,0,817,1277,1781,114,0,0,,56727,4922
2020/2/20,,75891,5206,18266,2236,11633,0,889,1614,2109,118,0,0,,55389,5206
2020/2/21,,76288,5365,20659,2345,11477,0,397,1361,2393,109,0,0,,53284,5365
2020/2/22,,76741,4148,22888,2442,10968,0,453,882,2229,97,0,0,,51411,4148
2020/2/23,,77150,3434,24734,2592,9915,0,409,620,1846,150,0,0,,49824,3434
2020/2/24,,77658,2824,27323,2663,9126,0,508,530,2589,71,0,0,,47672,2824
2020/2/25,,78064,2491,29745,2715,8752,0,406,439,2422,52,0,0,,45604,2491
2020/2/26,,78497,2358,32495,2744,8346,0,433,508,2750,29,0,0,,43258,2358
2020/2/27,,78824,2308,36117,2788,7952,0,327,452,3622,44,0,0,,39919,2308
2020/2/28,,79251,1418,39002,2835,7664,0,427,248,2885,47,0,0,,37414,1418
2020/2/29,,79824,851,41625,2870,7365,0,573,132,2623,35,0,0,,35329,851
2020/3/1,,80026,715,44462,2912,7110,0,202,141,2837,42,0,0,,32652,715
2020/3/2,,80151,587,47204,2943,6806,0,125,129,2742,31,0,0,,30004,587
2020/3/3,,80270,520,49856,2981,6416,0,119,143,2652,38,0,0,,27433,520
2020/3/4,,80409,522,52045,3012,5952,20,139,143,2189,31,0,2,,25352,522
2020/3/5,,80552,482,53726,3042,5737,36,143,102,1681,30,0,-20,,23784,482
